name, e1, e2, e3, e4, e5, e6, e7, e8, e9, e10, mean, SD, 95% confidence
id value + type value + leading space, 4.8425, 4.803445, 4.820471, 4.797786, 4.826325, 4.798747, 4.842877, 4.866652, 4.806026, 4.826977, 4.8231806, 0.0214668408724, 0.0153564517623
id value + type value + xml:lang presence + leading space, 4.779548, 4.781533, 4.835273, 4.833246, 4.792298, 4.854391, 4.826543, 4.844742, 4.866604, 4.840705, 4.8254883, 0.0290333084717, 0.0207691762237
id value + type value + xml:lang value + leading space, 4.9324, 4.913849, 4.867258, 4.896871, 4.810387, 4.904544, 4.872888, 4.907519, 4.858715, 4.866924, 4.8831355, 0.0333473792291, 0.0238552763108
id value + xml:lang presence + leading space, 4.816234, 4.857051, 4.838742, 4.847712, 4.859344, 4.804562, 4.824813, 4.799715, 4.838546, 4.814893, 4.8301612, 0.0201609547135, 0.0144222771474
id value + xml:lang value + leading space, 4.836838, 4.863472, 4.877544, 4.888418, 4.881704, 4.841416, 4.846494, 4.854071, 4.866846, 4.888404, 4.8645207, 0.0182953247692, 0.0130876859787
type case + leading space, 4.893372, 4.857259, 4.870962, 4.900617, 4.905831, 4.912251, 4.90819, 4.883187, 4.917378, 4.907109, 4.8956156, 0.0184619970762, 0.013206916156
type case + xml:lang presence + leading space, 4.817261, 4.876223, 4.928105, 4.906801, 4.875474, 4.910499, 4.849054, 4.859202, 4.905442, 4.888875, 4.8816936, 0.0316561148159, 0.0226454187201
type case + xml:lang value + leading space, 4.935422, 4.939888, 4.935539, 4.902969, 4.936067, 4.894185, 4.932823, 4.928499, 4.94426, 4.953606, 4.9303258, 0.0172563047423, 0.0123444158806
type presence + leading space, 4.862398, 4.860373, 4.856948, 4.848952, 4.807768, 4.857434, 4.803856, 4.872674, 4.811461, 4.818886, 4.840075, 0.0250222840684, 0.0178998624233
type presence + xml:lang presence + leading space, 4.840476, 4.844177, 4.823923, 4.866258, 4.830317, 4.860292, 4.807973, 4.81729, 4.882388, 4.877487, 4.8450581, 0.0244106512345, 0.0174623266831
type presence + xml:lang value + leading space, 4.922699, 4.87026, 4.89606, 4.868352, 4.918919, 4.907762, 4.893326, 4.905617, 4.865539, 4.848355, 4.8896889, 0.0238802859884, 0.017082926269
type value + leading space, 4.854676, 4.846314, 4.858794, 4.845807, 4.855656, 4.82079, 4.841907, 4.863203, 4.847039, 4.805009, 4.8439195, 0.0170839993869, 0.0122211560635
type value + xml:lang presence + leading space, 4.862639, 4.858166, 4.862647, 4.849608, 4.8367, 4.851904, 4.790853, 4.846479, 4.822785, 4.849411, 4.8431192, 0.0208455210431, 0.0149119863636
type value + xml:lang value + leading space, 4.890281, 4.814402, 4.89552, 4.862059, 4.872647, 4.870668, 4.860112, 4.871023, 4.853509, 4.872567, 4.8662788, 0.0211261156572, 0.0151127116441
xml:lang presence + leading space, 4.810455, 4.804622, 4.79595, 4.797798, 4.858958, 4.842299, 4.870014, 4.823517, 4.822593, 4.876976, 4.8303182, 0.0284885899539, 0.0203795080982
xml:lang value + leading space, 4.878802, 4.869594, 4.891372, 4.908297, 4.906683, 4.907239, 4.839889, 4.905062, 4.860891, 4.885027, 4.8852856, 0.0220039845128, 0.0157407011473
